Titulo,Tipo,Programa
Metodos numericos para problemas en multiples escalas,Nacional,Programa Nacional de Ciencias Básicas
Desarrollo de nuevos modelos y métodos para la toma de decisiones,Nacional,Programa Nacional de Ciencias Básicas
"Modelos epidemiológicos avanzados. Estrategias de modelación, resolución y aplicaciones.",Nacional,Programa Nacional de Ciencias Básicas
Criptografía aplicada a la Seguridad de las Tecnologías de la Información,Nacional,Telecomunicaciones e Informatización de la Sociedad
LETO: Learning Engine Through Ontologies,Internacional,
"Sistema descentralizado, basado en tecnología de cadenas de bloques, para la identificación de propietarios de medicamentos y la gestión de su información de propiedad y transferencia",Empresarial,
Servicio Científico-Técnico para la confección de un prototipo funcional para la Sala Situacional,Empresarial,
"Servicios para la identificación del problema, análisis de requerimientos, y propuesta de tecnología a aplicar al MDP",Empresarial,
Diseño de Sala Situacional,Empresarial,
Motor de búsqueda y recomendación para la aplicación Sandunga,Empresarial,
Servicio C-T BlockChain 2. Sistema para la Trazabilidad del Combustible de Aviación con Tecnología Blockchain (TrazaJet),Empresarial,
Análisis imagenológico en apoyo al diagnóstico y tratamiento de lesiones cutáneas,Empresarial,
Proyecto Cadic-UH,Empresarial,"
"
,Empresarial,
